 연번 , 구분 , 호선 ,name,address, 소재지지번주소 ,disabled_man,disabled_woman, 화장실 상세위치 ,latitude,longitude,emergency_bell, 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-여자화장실 ,diaper
100, 공중화장실 ,3, 학여울 , 서울특별시 강남구 대치동 514-3 학여울역 , 서울특별시 강남구 대치동 5 ,있음,있음, 대합실 B4층 외부 E/V 옆 (게이트외) ,37.483953,127.084413,있음,있음,있음,남여
101, 공중화장실 ,3, 대청 , 서울특별시 강남구 일원동 700-9 대청역 , 서울특별시 강남구 일원동 7 ,있음,있음, 대합실  B2층 상선 게이트안 ,37.48735,127.101842,있음,있음,있음,남여
102, 공중화장실 ,3, 일원 , 서울특별시 강남구 일원동 717 일원역 , 서울특별시 강남구 일원동 7 ,있음,있음," 대합실 B2층 7번출구옆, 역무실 앞 ",37.48398867,127.0841298,있음,있음,있음,남여
103, 공중화장실 ,3, 수서 , 서울특별시 강남구 수서동 728 수서역 , 서울특별시 강남구 수서동 7 ,있음,있음, 대합실 B1층 역무실좌측(게이트내) ,37.48756025,127.1024105,있음,있음,있음,남여
104, 공중화장실 ,3, 가락시장(3) , 서울특별시 송파구 가락동 184-23 가락시장역 , 서울특별시 송파구 가락동 1 ,있음,있음, 대합실 B2층 고객상담실앞(게이트내) ,37.49224932,127.1176417,있음,있음,있음,남여
105, 공중화장실 ,3, 가락시장(3) , 서울특별시 송파구 가락동 184-23 가락시장역 , 서울특별시 송파구 가락동 1 ,있음,있음, 대합실 B2층 고객상담실앞(게이트외) ,37.49224932,127.1176417,있음,있음,있음,남여
106, 공중화장실 ,3, 경찰병원 , 서울특별시 송파구 가락동 10-15 경찰병원역 , 서울특별시 송파구 가락동 1 ,있음,있음, 대합실 B1층 역무실 앞(게이트내) ,37.49600492,127.1244824,있음,있음,있음,남여
107, 공중화장실 ,3, 경찰병원 , 서울특별시 송파구 가락동 10-15 경찰병원역 , 서울특별시 송파구 가락동 1 ,있음,있음, 대합실 B1층 고객안내부스옆(게이트외) ,37.49600492,127.1244824,있음,있음,있음,남여
108, 공중화장실 ,3, 오금(3) , 서울특별시 송파구 오금동 44-2 오금역 , 서울특별시 송파구 오금동 4 ,있음,있음, 대합실 B1층 2번출구옆(게이트내) ,37.50232209,127.1284828,있음,있음,있음,남여
109, 공중화장실 ,3, 오금(3) , 서울특별시 송파구 오금동 44-2 오금역 , 서울특별시 송파구 오금동 4 ,있음,있음, 대합실 B1층 2번출구옆(게이트외) ,37.50232209,127.1284828,있음,있음,있음,남여
110, 공중화장실 ,4, 당고개 , 서울특별시 노원구 상계동 111 당고개역 , 서울특별시 노원구 상계동 1 ,있음,있음," 대합실 1층 (1,4 출구방향) ",37.67021684,127.0790666,있음,없음,있음,여자
111, 공중화장실 ,4, 당고개 , 서울특별시 노원구 상계동 111 당고개역 , 서울특별시 노원구 상계동 1 ,있음,있음, 대합실 2층 역무실 앞 ,37.67021684,127.0790666,있음,있음,있음,남여
112, 공중화장실 ,4, 상계 , 서울특별시 노원구 상계동 156-203 상계역 , 서울특별시 노원구 상계동 1 ,있음,있음, 2층 대합실 나게이트 안 ,37.648811,127.034866,있음,없음,있음,여자
113, 공중화장실 ,4, 노원(4) , 서울특별시 노원구 상계동 602-5 노원역(4호선) , 서울특별시 노원구 상계동 6 ,있음,있음, 2층 대합실 나게이트 안 ,37.639775,127.027208,있음,있음,있음,남여
114, 공중화장실 ,4, 창동 , 서울특별시 도봉구 창동 135-1 창동역 , 서울특별시 도봉구 창동 13 ,있음,있음, 2층 대합실 나게이트 안 ,37.629878,127.024714,있음,없음,있음,여자
115, 공중화장실 ,4, 쌍문 , 서울특별시 도봉구 창동 703-4 쌍문역 , 서울특별시 도봉구 창동 70 ,있음,있음, 지하1층 나환기실 옆 ,37.615104,127.030046,있음,있음,있음,남여
116, 공중화장실 ,4, 수유 , 서울특별시 강북구 수유동 140 수유역 , 서울특별시 강북구 수유동 1 ,있음,있음," 대합실 지하1층 역무실 옆(2,8번 출구방향) ",37.603225,127.024965,있음,없음,있음,여자
117, 공중화장실 ,4, 미아 , 서울특별시 강북구 미아동 194-1 미아역 , 서울특별시 강북구 미아동 1 ,있음,있음," 대합실 지하1층 교양휴게실 앞 (3,4번 게이트방향) ",37.593048,127.016714,있음,있음,있음,남여
118, 공중화장실 ,4, 미아사거리 , 서울특별시 강북구 미아동 66-1 미아사거리역 , 서울특별시 강북구 미아동 6 ,있음,있음, 지하1층 역무실 옆 ,37.492504,126.894962,있음,있음,있음,남여
119, 공중화장실 ,4, 길음 , 서울특별시 성북구 길음동 877-66 길음역 , 서울특별시 성북구 길음동 8 ,있음,있음, 지하1층 대합실 가게이트 밖 ,37.581893,127.001953,있음,있음,있음,남여
120, 공중화장실 ,4, 성신여대입구 , 서울특별시 성북구 동선동4가 1 성신여대입구역 , 서울특별시 성북구 동선동4가 ,있음,있음, 지하1층 고객 안내부스에서 10m 안쪽 ,37.570385,127.009529,있음,있음,있음,남여
121, 공중화장실 ,4, 한성대입구 , 서울특별시 성북구 삼선동1가 14 한성대입구역 , 서울특별시 성북구 삼선동1가 ,있음,있음," 1번출구방향, 가게이트 쪽(게이트외) ",37.58842461,127.0060178,있음,있음,있음,남여
122, 공중화장실 ,4, 혜화 , 서울특별시 종로구 명륜4가 96-5 4호선 혜화역 , 서울특별시 종로구 명륜4가  ,있음,있음, (지하1층 3번출구 방면) ,37.58204392,127.0194501,있음,없음,있음,여자
123, 공중화장실 ,4, 동대문(4) , 서울특별시 종로구 종로6가 287-1 동대문역(4호선) , 서울특별시 종로구 종로6가  ,있음,있음, 지하2층 ,37.561159,126.994398,있음,없음,없음,없음
124, 공중화장실 ,4, 동대문역사문화공원(4) , 서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선) , 서울특별시 중구 광희동2가  ,있음,있음," 지하1층 10,11번 기둥앞 ",37.56514371,127.0079152,있음,있음,있음,남여
125, 공중화장실 ,4, 동대문역사문화공원(4) , 서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선) , 서울특별시 중구 광희동2가  ,있음,있음, 지하2층 내부계단 옆 ,37.56514371,127.0079152,있음,있음,있음,남여
126, 공중화장실 ,4, 충무로(4) ," 서울특별시 중구 필동2가 16-2 충무로역(3, 4호선) ", 서울특별시 중구 필동2가 1 ,있음,있음," 지하2층 3,4,5,6,7번 출구쪽, 게이트내 ",37.535982,126.971351,있음,있음,있음,남여
127, 공중화장실 ,4, 명동 , 서울특별시 중구 충무로2가 109-2 명동역 4호선 , 서울특별시 중구 충무로2가  ,있음,있음," 지하1층 2,3,4,5,6,7,8번 출구쪽, 게이트내 ",37.545528,126.97197,있음,있음,있음,남여
128, 공중화장실 ,4, 회현 , 서울특별시 중구 남창동 64-1 회현역 4호선 , 서울특별시 중구 남창동 64 ,있음,있음, 게이트내 지하2층  ,37.534394,126.973014,있음,있음,있음,남여
129, 공중화장실 ,4, 서울(4) , 서울특별시 중구 용산구 동자동 14-151 서울역(4호선) , 서울특별시 중구 용산구 동자 ,있음,있음," 14번 출구  옆, 11번 출구 물품보관함 건너편 ",37.529364,126.968299,있음,있음,있음,남여
130, 공중화장실 ,4, 숙대입구 , 서울특별시 용산구 갈월동 16-7 숙대입구역 , 서울특별시 용산구 갈월동 1 ,있음,있음, 지하1층 가대합실과 나대합실 연결통로 가운데 위치 ,37.522481,126.973671,있음,있음,있음,남여
131, 공중화장실 ,4, 삼각지(4) , 서울특별시 용산구 한강로1가 228-1 삼각지역(4호선) , 서울특별시 용산구 한강로1가 ,있음,있음," 지하 1층 3,4번 출구 게이트 안쪽 ",37.503465,126.979927,있음,있음,있음,남여
132, 공중화장실 ,4, 신용산 , 서울특별시 용산구 한강로2가 181 4호선 신용산역 , 서울특별시 용산구 한강로2가 ,있음,있음, 지하1층 삼각지측 ,37.487514,126.982162,있음,있음,있음,남여
133, 공중화장실 ,4, 이촌 , 서울특별시 용산구 용산동5가 17-112 4호선 이촌역 , 서울특별시 용산구 용산동5가 ,있음,있음, 대합실(지하1층) 역무실 앞 ,37.52237348,126.9745201,있음,있음,있음,남여
134, 공중화장실 ,4, 동작 , 서울특별시 동작구 동작동 327-1 4호선 동작역 , 서울특별시 동작구 동작동 3 ,있음,있음, 대합실 2층 구내식당좌측 ,37.50297958,126.9803148,있음,없음,없음,없음
135, 공중화장실 ,4, 총신대입구(4) , 서울특별시 동작구 사당동 736-1 총신대역4호선 , 서울특별시 동작구 사당동 7 ,있음,있음, 지하1층 동작측 ,37.4867996,126.9822119,있음,있음,있음,남여
136, 공중화장실 ,4, 사당(4) , 서울특별시 동작구 사당동 588-4 사당역(4호선) , 서울특별시 동작구 사당동 5 ,있음,있음, (지하1층 총신대측) ,37.47759121,126.9816985,있음,없음,있음,여자
137, 공중화장실 ,4, 사당(4) , 서울특별시 동작구 사당동 588-4 사당역(4호선) , 서울특별시 동작구 사당동 5 ,있음,있음, (지하1층 남태령측) ,37.47759121,126.9816985,있음,없음,있음,여자
138, 공중화장실 ,4, 사당(4) , 서울특별시 동작구 사당동 588-4 사당역(4호선) , 서울특별시 동작구 사당동 5 ,있음,있음, (지하2층 환승통로) ,37.47759121,126.9816985,있음,있음,있음,남여
139, 공중화장실 ,4, 남태령 , 서울특별시 서초구 방배동 2909 남태령역 , 서울특별시 서초구 방배동 2 ,있음,있음, (지하2층 역무실 옆) ,37.588021,127.005797,있음,있음,있음,남여
140, 공중화장실 ,5, 방화 , 서울특별시 강서구 방화동 829-15 방화역 , 서울특별시 강서구 방화동 8 ,있음,있음," 대합실 1층 3,4번출구방향 앞 ",37.577622,126.810637,있음,없음,없음,없음
141, 공중화장실 ,5, 개화산 , 서울특별시 강서구 방화동 846 개화산역 , 서울특별시 강서구 방화동 8 ,있음,있음, 대합실 지하1층 하선E/L 옆  ,37.572455,126.80465,있음,없음,없음,없음
142, 공중화장실 ,5, 김포공항(5) , 서울특별시 강서구 방화동 886 김포공항역 , 서울특별시 강서구 방화동 8 ,있음,있음," 대합실 1층, 1번출구 옆(지하철경찰센터 옆) ",37.56209982,126.8012568,있음,있음,있음,남여
143, 공중화장실 ,5, 김포공항(5) , 서울특별시 강서구 방화동 886 김포공항역 , 서울특별시 강서구 방화동 8 ,있음,있음," 대합실 2층,1번출구 아래(국내선 연결통로 방면) ",37.56209982,126.8012568,있음,있음,있음,남여
144, 공중화장실 ,5, 송정 , 서울특별시 강서구 공항동 29-5 송정역 , 서울특별시 강서구 공항동 2 ,있음,있음, 대합실 2층 ES 1호기 앞 ,36.344485,126.875648,있음,있음,있음,남여
145, 공중화장실 ,5, 마곡 , 서울특별시 강서구 가양동 530-6 마곡역 , 서울특별시 강서구 가양동 5 ,있음,있음, 지하1층 대합실 2번출구 하단 ,37.561084,126.823603,있음,없음,없음,없음
146, 공중화장실 ,5, 발산 , 서울특별시 강서구 가양동 967-3 발산역 , 서울특별시 강서구 가양동 9 ,있음,있음," 대합실 1층 1, 9번 출구 사이 ",37.55867774,126.8377364,있음,없음,없음,없음
147, 공중화장실 ,5, 우장산 , 서울특별시 강서구 화곡동 1089-3 우장산역 , 서울특별시 강서구 화곡동 1 ,있음,있음, 지하1층 대합실 2번출구 앞 ,37.54881619,126.8363263,있음,없음,없음,없음
148, 공중화장실 ,5, 화곡 , 서울특별시 강서구 화곡동 1089-54 화곡역 , 서울특별시 강서구 화곡동 1 ,있음,있음," 대합실 1층 7,8번 출구 앞 ",37.541578,126.838247,있음,없음,없음,없음
149, 공중화장실 ,5, 까치산(5) , 서울특별시 강서구 화곡동 662-5 까치산역(5호선) , 서울특별시 강서구 화곡동 6 ,있음,있음," 대합실(지하1층) 3,4번 출구 앞 ",37.531768,126.844517,있음,없음,없음,없음
150, 공중화장실 ,5, 신정 , 서울특별시 양천구 신정동 1090 신정역 , 서울특별시 양천구 신정동 1 ,있음,있음," 2,3번 출구 지하 (가)대합실 운임지역 내  ",37.524977,126.853975,있음,없음,없음,없음
151, 공중화장실 ,5, 목동 , 서울특별시 양천구 목동 926-3 목동역 , 서울특별시 양천구 목동 92 ,있음,있음, 대합실 지하1층 7번출구 옆 ,37.526072,126.862112,있음,없음,있음,여자
152, 공중화장실 ,5, 오목교 , 서울특별시 양천구 목동 406-30 오목교역 , 서울특별시 양천구 목동 40 ,있음,있음, 대합실 B1층 3번 출구 방향 임대상가 옆 ,37.524553,126.872861,있음,없음,없음,없음
153, 공중화장실 ,5, 양평(5) , 서울특별시 영등포구 양평동2가 33-79 양평역  , 서울특별시 영등포구 양평동2 ,있음,있음, b1층 고객상담실 옆. 운임지역내 ,37.509109,127.049088,있음,없음,없음,없음
154, 공중화장실 ,5, 영등포구청(5) , 서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선) , 서울특별시 영등포구 당산동3 ,있음,있음, 대합실 지하1층 7번출구 방면 ,37.526714,126.893067,있음,없음,없음,없음
155, 공중화장실 ,5, 영등포시장 , 서울특별시 영등포구 영등포동5가 62-1 영등포시장역 , 서울특별시 영등포구 영등포동 ,있음,있음," 대합실 1층  2, 3번출구 앞  ",37.521638,126.902798,있음,없음,없음,없음
156, 공중화장실 ,5, 신길(5) , 서울특별시 영등포구 영등포동1가 35 신길역 , 서울특별시 영등포구 영등포동 ,있음,있음, 대합실(B3) 3번출구 앞 ,37.517346,126.914221,있음,없음,없음,없음
157, 공중화장실 ,5, 여의도(5) , 서울특별시 영등포구 여의도동 3 여의도역 , 서울특별시 영등포구 여의도동 ,있음,있음, 대합실1층  가게이트 옆 ,37.52157,126.922123,있음,없음,없음,없음
158, 공중화장실 ,5, 여의나루 , 서울특별시 영등포구 여의도동 84-4 여의나루역 , 서울특별시 영등포구 여의도동 ,있음,있음, 지하1층 대합실 비운임지역 ES옆 ,37.527141,126.930621,있음,없음,없음,없음
159, 공중화장실 ,5, 마포 , 서울특별시 마포구 도화동 160 마포역 , 서울특별시 마포구 도화동 1 ,있음,있음, 대합실 1층 토니모리 좌측 ,37.539705,126.943851,있음,없음,없음,없음
160, 공중화장실 ,5, 공덕(5) ," 서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선) ", 서울특별시 마포구 공덕동 4 ,있음,있음,  대합실 1층 3번출구 앞 ,37.54454169,126.9514512,있음,없음,없음,없음
161, 공중화장실 ,5, 애오개 , 서울특별시 마포구 아현동 612 애오개역 , 서울특별시 마포구 아현동 6 ,있음,있음, 대합실 1층 게이트 통과 후좌측 ,37.55359,126.95455,있음,없음,없음,없음
162, 공중화장실 ,5, 충정로(5) , 서울특별시 서대문구 충정로3가 248-1 충정로역(5호선) , 서울특별시 서대문구 충정로3 ,있음,있음, 대합실 B1층 8번출구 방향  i센터 맞은 편 ,37.560055,126.961483,있음,없음,없음,없음
163, 공중화장실 ,5, 서대문 , 서울특별시 종로구 평동 210 서대문역 , 서울특별시 종로구 평동 21 ,있음,있음," 지하1층 대합실 1, 2번 출구내려와서 왼쪽편 ",37.56577,126.964461,있음,없음,없음,없음
164, 공중화장실 ,5, 광화문 , 서울특별시 종로구 세종로 1-90 광화문역 , 서울특별시 종로구 세종로 1 ,있음,있음, 세종측 대합실 지하1층 ,37.568666,126.969794,있음,있음,있음,남여
165, 공중화장실 ,5, 종로3가(5) , 서울특별시 종로구 낙원동 126 종로3가역(5호선) , 서울특별시 종로구 낙원동 1 ,있음,있음, (대합실 지하1층 역무실 맞은편) ,37.5715,126.989059,있음,없음,없음,없음
166, 공중화장실 ,5, 을지로4가(5) , 서울특별시 중구 을지로4가 192 을지로4가역(5호선) , 서울특별시 중구 을지로4가  ,있음,있음," 대합실 B1층, B2층 내려가는 계단 앞 ",37.567015,126.995642,있음,없음,없음,없음
167, 공중화장실 ,5, 동대문역사문화공원(5) , 서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선) , 서울특별시 중구 광희동1가  ,있음,있음, 지하1층 ,37.565102,127.005576,있음,없음,없음,없음
168, 공중화장실 ,5, 신금호 , 서울특별시 성동구 금호동2가 223-1 신금호역 , 서울특별시 성동구 금호동2가 ,있음,있음, B2 게이트 앞 ,37.554468,127.018605,있음,없음,없음,없음
169, 공중화장실 ,5, 행당 , 서울특별시 성동구 행당동 317-241 행당역 , 서울특별시 성동구 행당동 3 ,있음,있음, 지하3층 E/S 옆(고객상담실 및만남의장소 앞) ,37.55736378,127.0295118,있음,없음,없음,없음
170, 공중화장실 ,5, 왕십리(5) , 서울특별시 성동구 행당동 192 왕십리역(5호선) , 서울특별시 성동구 행당동 1 ,있음,있음, b2 대합실 상가2002호점 옆 ,37.56203954,127.0373313,있음,없음,없음,없음
171, 공중화장실 ,5, 마장 , 서울특별시 성동구 마장동 772 마장역 , 서울특별시 성동구 마장동 7 ,있음,있음, 지하2층 대합실 ,37.566127,127.040776,있음,없음,없음,없음
172, 공중화장실 ,5, 답십리 , 서울특별시 성동구 용답동 99 답십리역 , 서울특별시 성동구 용답동 9 ,있음,있음," B1층 5,6번 출입구 방향 ",37.567072,127.050193,있음,없음,없음,없음
173, 공중화장실 ,5, 장한평 , 서울특별시 동대문구 장안동 472-3 장한평역 , 서울특별시 동대문구 장안동  ,있음,있음, 지하 1층 1번출구 나가기전좌측방향 ,37.561472,127.062468,있음,없음,없음,없음
174, 공중화장실 ,5, 군자(5) ," 서울특별시 광진구 능동 275-5 군자역(5, 7호선) ", 서울특별시 광진구 능동 27 ,있음,있음, 지하1층 대합실 5 게이트(가) 앞 ,37.557336,127.0774,있음,없음,없음,없음
175, 공중화장실 ,5, 아차산 , 서울특별시 광진구 능동 256-16 아차산역 , 서울특별시 광진구 능동 25 ,있음,있음, 지하1층 대합실 ,37.551959,127.087363,있음,없음,없음,없음
176, 공중화장실 ,5, 광나루 , 서울특별시 광진구 광장동 237 광나루역 , 서울특별시 광진구 광장동 2 ,있음,있음, 지하1층 ,37.545332,127.101417,있음,없음,없음,없음
177, 공중화장실 ,5, 천호(5) ," 서울특별시 강동구 천호동 455 천호역(5, 8호선) ", 서울특별시 강동구 천호동 4 ,있음,있음," 지하1층 대합실(5,6번출구 방향) ",37.538462,127.122905,있음,없음,없음,없음
178, 공중화장실 ,5, 강동 , 서울특별시 강동구 천호동 447 강동역 , 서울특별시 강동구 천호동 4 ,있음,있음, 대합실 지하1층 2번출구 앞  ,37.53594,127.1299,있음,없음,없음,없음
179, 공중화장실 ,5, 길동 , 서울특별시 강동구 길동 378 길동역 , 서울특별시 강동구 길동 37 ,있음,있음, 대합실 지하1층 3번 출구 옆 ,37.537769,127.137803,있음,없음,없음,없음
180, 공중화장실 ,5, 굽은다리 , 서울특별시 강동구 명일동 345-12 굽은다리역 , 서울특별시 강동구 명일동 3 ,있음,있음, 대합실 지하1층 3번출구 앞 ,37.545539,127.140717,있음,없음,없음,없음
181, 공중화장실 ,5, 명일 , 서울특별시 강동구 명일동 312 명일역 , 서울특별시 강동구 명일동 3 ,있음,있음, 대합실 지하1층 3번출구 앞  ,37.55131,127.141825,있음,없음,없음,없음
182, 공중화장실 ,5, 고덕 , 서울특별시 강동구 고덕동 310 고덕역 , 서울특별시 강동구 고덕동 3 ,있음,있음, 대합실 지하1층 1번 출구 방향 ,37.555051,127.151921,있음,없음,없음,없음
183, 공중화장실 ,5, 상일동 , 서울특별시 강동구 상일동 148 상일동역 , 서울특별시 강동구 상일동 1 ,있음,있음, 대합실 지하1층 4번출구 앞 ,37.557055,127.166995,있음,없음,없음,없음
184, 공중화장실 ,5, 강일 , 서울특별시 강동구 고덕로 지하 456 강일역 , 서울특별시 강동구 상일동 73 ,있음,있음, B2층 3번출구 앞 ,37.55758,127.17588,있음,없음,없음,없음
185, 공중화장실 ,5, 강일 , 서울특별시 강동구 고덕로 지하 456 강일역 , 서울특별시 강동구 상일동 73 ,있음,있음, B2층 4번출구 앞 ,37.55758,127.17588,있음,없음,없음,없음
186, 공중화장실 ,5, 미사 , 경기도 하남시 미사강변동로 지하90 미사역 , 경기도 하남시 망월동 1122 ,있음,있음, 대합실 지하1층 5번 출구옆 ,37.563355,127.192636,있음,있음,있음,남여
187, 공중화장실 ,5, 미사 , 경기도 하남시 미사강변동로 지하90 미사역 , 경기도 하남시 망월동 1122 ,있음,있음, 대합실 지하1층 승강장 상선 내부계단옆 ,37.563355,127.192636,있음,없음,없음,없음
188, 공중화장실 ,5, 하남풍산 , 경기도 하남시 덕풍서로 50 하남풍산역 , 경기도 하남시 덕풍동 727-3 ,있음,있음," 대합실 지하1층 1,2출구 앞 ",37.552026,127.203768,있음,있음,있음,남여
189, 공중화장실 ,5, 하남시청 , 경기도 하남시 하남대로 지하 820 하남시청역 , 경기도 하남시 덕풍동 405-1 ,있음,있음, 대합실 지하1층 1~3출구 앞 ,37.54172,127.20676,있음,있음,있음,남여
190, 공중화장실 ,5, 하남검단산 , 경기도 하남시 대청로 지하 100 하남검단산역 , 경기도 하남시 창우동 526 ,있음,있음," 대합실 지하1층 1,2출구 앞 ",37.53996,127.22263,있음,있음,있음,남여
191, 공중화장실 ,5, 둔촌동 , 서울특별시 강동구 둔촌동 416 둔촌동역 , 서울특별시 강동구 둔촌동 4 ,있음,있음," 대합실 지하1층, 3,4번 출구 방향 ",37.527657,127.134042,있음,없음,없음,없음
192, 공중화장실 ,5, 올림픽공원 , 서울특별시 송파구 방이동 89-28 올림픽공원역 , 서울특별시 송파구 방이동 8 ,있음,있음, 대합실 지하1층 2번출구 앞 ,37.516628,127.128901,있음,없음,없음,없음
193, 공중화장실 ,5, 방이 , 서울특별시 송파구 방이동 217-2 방이역 , 서울특별시 송파구 방이동 2 ,있음,있음," 대합실 지하1층 3,4번 출구방향  ",37.508559,127.123771,있음,없음,없음,없음
194, 공중화장실 ,5, 오금(5) , 서울특별시 송파구 오금동 44-2 오금역 , 서울특별시 송파구 오금동 4 ,있음,있음, 대합실 지하1층 방이역 방향 ,37.502234,127.126165,있음,없음,없음,없음
195, 공중화장실 ,5, 개롱 , 서울특별시 송파구 오금동 165-2 개롱역 , 서울특별시 송파구 오금동 1 ,있음,있음," 1,4번호 출구 사이 ",37.498162,127.132471,있음,없음,없음,없음
196, 공중화장실 ,5, 거여 , 서울특별시 송파구 거여동 20-14 거여역 , 서울특별시 송파구 거여동 2 ,있음,있음, 대합실 1층 8번출구 앞 ,37.494249,127.13979,있음,없음,없음,없음
197, 공중화장실 ,5, 마천 , 서울특별시 송파구 마천동 307-4 마천역 , 서울특별시 송파구 마천동 3 ,있음,있음, 대합실 지하1층 1번출구 방향에서우측 코너 ,37.49502,127.150601,있음,없음,없음,없음
198, 공중화장실 ,6, 응암 , 서울특별시 은평구 역촌동 85-41 응암역 , 서울특별시 은평구 역촌동 8 ,있음,있음, 대합실 B1층 GS25 편의점 옆 ,37.598472,126.913403,있음,없음,없음,없음
199, 공중화장실 ,6, 역촌 , 서울특별시 은평구 녹번동 144-69 역촌역 , 서울특별시 은평구 녹번동 1 ,있음,있음, 대합실 1층 3번출구 옆  ,37.60515,126.919893,있음,없음,없음,없음
